region_id,"Couple family with no children, families","Couple family with no children, persons",Persons per family,"Couple families with children under 15, families","Couple families with children under 15, persons",Children per family,"Couple family with no children under 15, families","Couple family with no children under 15, persons",Children per family,"Couple families, families","Couple families, persons",Average family size,"Single-parent family with children under 15, families","Single-parent family with children under 15, persons",Children per family,"Single-parent family with no children under 15, families","Single-parent family with no children under 15, persons",Children per family,"Single-parent families, families","Single-parent families, persons",Average family size,"Other families, families","Other families, persons",Average family size
POA2000,2492,4960,1.990369181,485,1637,1.375257732,228,718,2.149122807,713,2355,3.302945302,132,326,1.46969697,246,536,1.178861789,378,862,2.28042328,409,892,2.180929095
POA2006,3,3,1,0,12,#DIV/0!,4,9,1.25,4,21,5.25,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!
POA2007,693,1390,2.005772006,171,579,1.385964912,62,197,2.177419355,233,776,3.330472103,51,136,1.666666667,66,136,1.060606061,117,272,2.324786325,97,209,2.154639175
POA2008,697,1369,1.964131994,152,517,1.401315789,35,118,2.371428571,187,635,3.395721925,37,93,1.513513514,63,142,1.253968254,100,235,2.35,84,167,1.988095238
POA2009,1764,3454,1.958049887,509,1752,1.442043222,172,524,2.046511628,681,2276,3.342143906,142,374,1.633802817,172,375,1.180232558,314,749,2.385350318,111,231,2.081081081
POA2010,3516,6845,1.946814562,590,2075,1.516949153,182,564,2.098901099,772,2639,3.418393782,122,299,1.450819672,214,423,0.976635514,336,722,2.148809524,185,394,2.12972973
POA2011,2343,4509,1.924455826,333,1119,1.36036036,122,374,2.06557377,455,1493,3.281318681,131,326,1.488549618,171,349,1.040935673,302,675,2.235099338,88,185,2.102272727
POA2015,1222,2393,1.958265139,476,1650,1.466386555,109,354,2.247706422,585,2004,3.425641026,103,268,1.601941748,110,245,1.227272727,213,513,2.408450704,62,135,2.177419355
POA2016,1394,2746,1.969870875,389,1353,1.4781491,111,371,2.342342342,500,1724,3.448,106,259,1.443396226,211,457,1.165876777,317,716,2.258675079,104,218,2.096153846
POA2017,1632,3229,1.978553922,451,1556,1.450110865,149,493,2.308724832,600,2049,3.415,223,616,1.762331839,289,618,1.138408304,512,1234,2.41015625,194,400,2.06185567
POA2018,1321,2648,2.004542014,1243,4848,1.900241352,639,2187,2.422535211,1882,7035,3.738044633,273,761,1.787545788,383,875,1.2845953,656,1636,2.493902439,120,248,2.066666667
POA2019,659,1322,2.006069803,873,3481,1.987399771,347,1184,2.412103746,1220,4665,3.823770492,181,489,1.701657459,214,505,1.359813084,395,994,2.516455696,42,86,2.047619048
