region_id,Median age of persons,"Median mortgage payment, AUD per month","Median total personal income, AUD per year","Median rent, AUD per month","Median total family income, AUD per year","Average number of persons per bedroom, Persons","Average household size, Persons"
POA2000,29,2600,30056,2600,84396,1.4,2.1
POA2006,20,0,9984,0,133224,1.3,3.7
POA2007,27,2280,25324,1993.333333,80860,1.4,2
POA2008,29,2200,36296,1967.333333,102804,1.3,2.1
POA2009,32,2778,56940,2491.666667,131300,1.3,2.1
POA2010,34,2500,53976,1950,132340,1.2,1.8
POA2011,36,2200,57460,1733.333333,129688,1.2,1.6
POA2015,33,2500,59020,2058.333333,128388,1.2,2
POA2016,36,2518,42120,1646.666667,111332,1.2,1.9
POA2017,32,2557,35880,1863.333333,95472,1.2,1.9
POA2018,36,2167,27664,1538.333333,70824,1.3,2.6
POA2019,37,2524,36296,1516.666667,99060,1.2,2.8
POA2020,35,2600,35204,1950,85904,1.3,2.6
POA2021,35,3033,62608,2145,149136,1.1,2
POA2022,36,3000,48048,2231.666667,127712,1.2,2.2
POA2023,36,3250,57304,2201.333333,148512,1.1,2.5
POA2024,37,3033,50440,2080,136240,1.2,2.4
POA2025,40,3033,59488,2383.333333,144612,1.1,2.1
POA2026,33,3000,52936,2166.666667,126672,1.2,2.2
POA2027,44,3000,67184,2556.666667,152308,1.1,1.9
POA2028,38,3000,59020,2383.333333,143312,1.1,2.1
POA2029,37,2884,49972,2166.666667,130780,1.2,2.3
POA2030,39,3467,48568,2301,142168,1.1,2.8
POA2031,35,2600,48620,1993.333333,125580,1.2,2.3
POA2032,31,2500,23660,1820,82056,1.2,2.5
POA2033,31,2600,33592,1885,102336,1.2,2.4
POA2034,35,2708,52052,1971.666667,128284,1.2,2.2
POA2035,37,2600,34268,1820,97448,1.2,2.5
POA2036,39,2500,29276,1343.333333,82420,1.2,2.7
POA2037,34,2869,40976,1516.666667,119964,1.2,2
POA2038,36,2924,55536,1950,142428,1.2,2.2
POA2039,36,3033,66352,2296.666667,151892,1.2,2.3
POA2040,37,3000,48152,1906.666667,129480,1.2,2.3
POA2041,39,3142,64584,2166.666667,151164,1.1,2.2
POA2042,33,2600,48100,1820,120848,1.2,2.1
POA2043,34,2600,62192,2166.666667,139984,1.2,2.1
POA2044,36,2600,39364,1950,97604,1.2,2.4
POA2045,44,2700,34112,1646.666667,109772,1.1,2.8
POA2046,39,2817,41912,1989,114348,1.1,2.4
POA2047,39,2800,53664,2101.666667,136032,1.1,2.3
POA2048,35,2574,46228,1690,119652,1.2,2.3
POA2049,36,2600,43784,1516.666667,116532,1.2,2.3
POA2050,33,2663,58448,2145,133796,1.3,1.9
POA2052,20,0,5876,1248,43732,1.5,2.7
POA2060,36,2600,63024,2036.666667,142688,1.2,1.9
POA2061,39,2650,68172,2201.333333,150176,1.2,1.8
POA2062,37,2708,61724,2080,142896,1.1,2.1
POA2063,40,3315,54132,2500.333333,147472,1.1,2.9
POA2064,34,2500,48672,1993.333333,124800,1.2,2.4
POA2065,35,2713,59956,2101.666667,141128,1.2,2.2
POA2066,37,2708,49140,1811.333333,135928,1.1,2.5
POA2067,35,2600,35464,2145,100048,1.3,2.6
POA2068,39,3105,46696,2166.666667,138268,1.1,2.8
POA2069,40,3007,45500,2301,142480,1.1,3
POA2070,40,3200,45136,2405,142948,1.1,3
POA2071,41,3119,41496,2643.333333,139204,1.1,2.9
POA2072,41,3000,39104,2513.333333,132288,1.1,2.8
POA2073,40,3100,44304,2600,142896,1.1,3.1
POA2074,43,3000,40404,2296.666667,135616,1.1,2.8
POA2075,43,3000,40768,2990,137436,1.1,2.9
POA2076,41,3000,39156,1997.666667,132912,1.1,2.9
POA2077,36,2167,35308,1711.666667,94692,1.2,2.6
POA2079,37,2500,36920,1950,113984,1.1,3
POA2080,39,2247,35828,1820,105612,1.1,2.8
POA2081,38,2500,37388,1733.333333,111384,1.1,3.1
POA2082,39,2182,37544,1733.333333,104052,1.1,2.9
POA2083,45,2141,34684,1278.333333,91000,1.1,2.4
POA2084,41,2950,37648,2166.666667,114088,1.1,3.1
POA2085,43,2903,35724,2816.666667,116376,1,2.9
POA2086,40,2900,38168,2816.666667,119756,1.1,3.1
POA2087,41,2800,36140,2383.333333,118248,1.1,2.9
POA2088,40,3033,58084,2054,147576,1.1,2.3
POA2089,36,2700,64064,2041,142792,1.2,1.9
POA2090,38,3000,62556,2123.333333,144508,1.1,2
POA2092,39,3500,44460,2426.666667,139724,1.1,3.1
POA2093,38,2800,43732,1993.333333,129844,1.1,2.7
POA2094,37,3000,55276,2166.666667,136604,1.2,2.3
POA2095,35,3000,55588,2296.666667,138268,1.2,2.1
POA2096,35,2700,49400,1950,125528,1.2,2.4
POA2097,38,2685,41184,2041,110604,1.1,2.8
POA2099,37,2500,37076,1759.333333,95368,1.2,2.5
POA2100,40,2925,34840,1950,106132,1.1,2.9
POA2101,40,2800,38636,1863.333333,102596,1.1,2.5
POA2102,38,3000,39884,2491.666667,110344,1.1,2.9
POA2103,42,2687,37388,2058.333333,105092,1.1,2.6
POA2104,53,2800,37492,3380,117780,1,2.4
POA2105,45,3000,47476,1733.333333,119444,1.1,2.7
POA2106,40,2817,40924,1906.666667,113880,1.1,2.6
POA2107,43,3000,39520,2383.333333,113672,1.1,2.8
POA2108,53,3000,44876,2166.666667,118976,1.1,2.3
POA2109,23,2074,11544,975,43888,1.2,2
POA2110,42,3171,41704,1681.333333,143676,1.1,2.7
POA2111,39,2600,41860,1516.666667,118456,1.1,2.4
POA2112,38,2410,33748,1564.333333,95368,1.1,2.7
POA2113,38,2400,33956,1607.666667,99840,1.1,2.6
POA2114,35,2167,36400,1516.666667,94848,1.2,2.5
POA2115,38,2500,26572,1083.333333,80704,1.1,2.8
POA2116,37,2288,28600,1300,77220,1.1,2.8
POA2117,38,2300,29224,1300,85124,1.1,2.7
POA2118,40,2200,30472,1755,88868,1.1,2.9
POA2119,43,2800,41652,2166.666667,139620,1.1,3.1
POA2120,39,2500,37388,1776.666667,119288,1.1,2.9
POA2121,39,2396,33956,1824.333333,104364,1.1,2.8
POA2122,35,2288,27976,1698.666667,87464,1.2,2.7
POA2125,41,2611,38688,2080,133848,1,3.1
POA2126,40,2600,35464,2257.666667,126048,1,3.2
POA2127,33,2500,52884,2106,119080,1.2,2.5
POA2128,32,2119,31460,1733.333333,69316,1.3,2.9
POA2129,50,0,71500,0,0,0,0
POA2130,35,2090,42744,1560,109616,1.2,2.2
POA2131,35,2100,29900,1581.666667,75816,1.3,2.4
POA2132,38,2400,29900,1690,93496,1.2,2.8
POA2133,38,2167,29068,1430,78624,1.2,2.7
POA2134,32,2167,22724,1841.666667,67704,1.3,2.7
POA2135,33,2500,28392,1820,86892,1.3,2.9
POA2136,38,2380,28600,1724.666667,82004,1.2,2.8
POA2137,38,2600,38064,2036.666667,108836,1.1,2.7
POA2138,31,2500,36660,2296.666667,99424,1.3,2.6
POA2139,42,0,19916,1430,0,1,0
POA2140,30,2008,30472,1690,74100,1.4,2.7
POA2141,33,2000,22048,1516.666667,61412,1.3,3.1
POA2142,30,1863,22152,1386.666667,58656,1.3,2.9
POA2143,35,1788,21320,1300,59228,1.3,3
POA2144,29,1800,18304,1386.666667,49764,1.4,3.3
POA2145,34,2167,29796,1516.666667,79040,1.2,2.8
POA2146,35,2015,31876,1430,82888,1.1,2.9
POA2147,36,2043,30212,1191.666667,82368,1.1,2.8
POA2148,33,1950,27664,1386.666667,69836,1.2,2.9
POA2150,30,1800,30992,1473.333333,68328,1.4,2.5
POA2151,35,2156,33020,1473.333333,89128,1.1,2.6
POA2152,37,2300,36504,1560,90844,1.1,2.4
POA2153,38,2418,36816,1863.333333,108004,1.1,3
POA2154,39,2600,37492,1976,118924,1.1,3
POA2155,33,2700,42224,2210,121368,1.1,3.4
POA2156,41,2800,36868,1798.333333,121316,1,3.2
POA2157,40,2500,32292,1139.666667,89544,1.1,3.1
POA2158,42,2775,35360,1824.333333,116740,1.1,3
POA2159,42,2513,34216,1300,106288,1.1,2.9
POA2160,32,1993,22152,1386.666667,59384,1.3,2.9
POA2161,31,1950,20072,1300,56680,1.3,3.1
POA2162,36,1950,20072,1170,57304,1.2,3
POA2163,36,1517,17212,758.3333333,43316,1.3,2.7
POA2164,37,2000,21112,1300,62556,1.2,3
POA2165,35,1781,17992,1278.333333,49608,1.3,3.1
POA2166,36,1517,17420,1083.333333,45552,1.3,3.2
POA2167,36,1965,31772,1256.666667,81276,1.1,2.8
POA2168,32,1904,20384,949,60008,1.2,3.3
POA2170,34,2037,25012,1256.666667,67132,1.2,3
POA2171,31,2383,33280,1776.666667,91260,1.1,3.6
POA2172,34,2600,43628,1733.333333,125216,1.1,3.4
POA2173,30,2200,43264,1560,105300,1.1,3.2
POA2174,38,0,26520,1300,63544,1.2,2.9
POA2175,39,3000,27300,1200.333333,76544,1.1,3.3
POA2176,37,2000,22568,1516.666667,70876,1.1,3.4
POA2177,34,1950,19500,996.6666667,62972,1.2,3.5
POA2178,35,2500,29796,1516.666667,81016,1.1,3.3
POA2179,40,2000,22100,1300,64532,1.1,3
POA2190,32,2100,18824,1213.333333,56108,1.3,3.3
POA2191,38,2275,24648,1386.666667,68172,1.2,2.9
POA2192,35,1950,21476,1300,56576,1.3,2.8
POA2193,39,2167,29692,1516.666667,82212,1.2,2.7
POA2194,35,1733,20228,1386.666667,50648,1.4,2.8
