Postcode,Apr 2011 - Mar 2012,Apr 2012 - Mar 2013,Apr 2013 - Mar 2014,Apr 2014 - Mar 2015,Apr 2015 - Mar 2016,% change 2015 - 2016
3000,21467,24164,22369,22666,22337,-0.014515133
3002,1022,756,1029,719,852,0.184979138
3003,436,659,557,487,610,0.252566735
3006,2070,2100,2262,2437,3114,0.277800574
3008,850,942,931,1575,1450,-0.079365079
3011,3207,3325,3255,2851,3141,0.101718695
3012,2367,2002,1865,2007,2179,0.08570005
3013,942,899,766,723,847,0.171507607
3015,1083,1194,1102,1146,1212,0.057591623
3016,1101,1459,1372,1218,1337,0.097701149
3018,983,923,921,852,864,0.014084507
3019,1058,1049,1081,1120,1410,0.258928571
3020,5657,6012,6760,6196,6239,0.006939961
3021,4200,4826,4609,4437,5202,0.172413793
3022,524,664,503,331,479,0.447129909
3023,4106,4436,4706,4150,4815,0.160240964
3024,1114,1096,993,1126,1535,0.363232682
3025,1062,1268,1164,1288,1275,-0.010093168
3026,484,630,1051,532,544,0.022556391
3027,154,161,219,274,436,0.591240876
3028,1906,2005,2052,2091,2189,0.046867527
3029,5143,5389,5307,5102,6124,0.200313603
3030,5776,6100,6182,6296,7251,0.151683609
3031,2112,2300,2140,2846,2619,-0.079761068
3032,2870,3175,3396,2915,3530,0.210977702
3033,614,774,644,688,652,-0.052325581
3034,396,402,519,403,493,0.223325062
3036,251,259,350,319,336,0.053291536
3037,2311,2593,2711,2441,2594,0.06267923
3038,1821,1998,2268,1760,2070,0.176136364
3039,1150,1425,1324,1793,1619,-0.09704406
3040,1384,1432,1445,1444,1626,0.126038781
3041,556,628,603,663,745,0.123680241
3042,1192,1441,1400,1734,1636,-0.056516724
3043,1448,1572,1482,1650,1943,0.177575758
3044,1112,1349,1299,1361,1464,0.075679647
3045,449,622,694,666,632,-0.051051051
3046,2173,2237,2568,2626,2710,0.031987814
3047,3405,3885,4014,4239,4966,0.171502713
3048,1353,1525,1544,1626,1989,0.223247232
3049,433,464,450,566,453,-0.199646643
3051,1737,1515,1799,1748,1756,0.004576659
3052,727,744,732,781,1142,0.462227913
3053,1592,1762,1786,1812,2608,0.439293598
3054,516,456,607,574,643,0.120209059
3055,594,630,661,709,947,0.335684062
3056,2208,2337,2671,3018,3180,0.053677932
3057,581,639,746,898,763,-0.150334076
3058,3376,3336,3642,3205,3853,0.202184087
3059,414,570,484,569,674,0.184534271
3060,1023,1131,976,966,1154,0.194616977
3061,1241,1279,1443,1451,1735,0.195727085
3062,169,124,196,202,244,0.207920792
3063,14,23,19,26,28,0.076923077
3064,3465,3682,3889,4802,5851,0.218450646
3065,2233,2321,2754,2823,2876,0.018774354
3066,1514,1449,1644,1883,2118,0.12480085
3067,900,717,1081,1105,1495,0.352941176
3068,1374,1289,1576,1857,1717,-0.075390415
3070,1640,1659,1916,2037,2097,0.029455081
3071,1158,978,1237,1291,1412,0.093725794
3072,4431,4159,5145,5166,5849,0.132210608
3073,3342,3272,3537,4534,4290,-0.053815615
3074,2010,2283,2190,2034,2290,0.125860374
3075,1316,1531,1382,1341,1528,0.139448173
3076,2702,2738,3472,3127,3218,0.029101375
3078,595,645,776,696,718,0.031609195
3079,619,669,907,902,756,-0.161862528
3081,1383,1637,1866,1695,2128,0.255457227
3082,1767,1772,1999,2000,1962,-0.019
3083,1627,1672,2050,2147,2657,0.237540755
3084,1875,1877,2513,2476,2172,-0.122778675
3085,482,470,1658,703,595,-0.153627312
3087,520,447,509,554,718,0.296028881
3088,1371,1436,1576,1618,2449,0.513597033
3089,453,535,575,498,663,0.331325301
3090,65,85,95,110,105,-0.045454545
3091,29,41,78,44,63,0.431818182
3093,97,119,202,134,158,0.179104478
3094,244,248,262,232,379,0.63362069
3095,908,850,1027,1036,2006,0.936293436
3096,43,39,39,46,66,0.434782609
3097,43,24,25,28,28,0
3099,176,185,153,207,213,0.028985507
3101,931,1127,1368,1394,1747,0.253228121
3102,184,182,207,173,194,0.121387283
3103,513,417,554,482,562,0.165975104
3104,478,516,618,461,614,0.331887202
3105,346,355,409,443,384,-0.133182844
3106,462,312,417,447,500,0.118568233
3107,511,231,336,354,451,0.274011299
3108,1424,1485,1503,1462,1494,0.021887825
3109,799,767,780,750,907,0.209333333
3111,221,150,452,255,303,0.188235294
3113,186,177,196,176,213,0.210227273
3114,76,85,96,63,122,0.936507937
3115,80,38,149,99,80,-0.191919192
3116,501,441,641,582,746,0.281786942
3121,4059,4115,4100,4499,4326,-0.03845299
3122,1537,1610,1468,1439,1426,-0.009034051
3123,447,466,422,468,628,0.341880342
3124,1021,1106,1113,959,1223,0.275286757
3125,558,824,779,903,933,0.033222591
3126,245,213,228,205,213,0.03902439
3127,556,557,574,556,602,0.082733813
3128,1641,1561,1501,1796,1795,-0.000556793
3129,341,398,443,356,335,-0.058988764
3130,1041,958,1156,1013,1031,0.017769003
3131,947,1341,1113,1306,1240,-0.050535988
3132,674,944,696,773,772,-0.001293661
3133,542,589,820,696,739,0.061781609
3134,3029,2878,3402,3415,3579,0.048023426
3135,735,760,982,963,1020,0.059190031
3136,1564,1937,2168,2359,2557,0.08393387
3137,670,731,624,755,907,0.201324503
3138,936,837,905,1169,1374,0.175363559
3139,358,392,413,412,594,0.441747573
3140,1264,1210,1496,1419,1737,0.22410148
3141,1822,1923,1934,2188,2544,0.162705667
3142,681,1002,811,785,717,-0.086624204
3143,425,396,375,473,517,0.093023256
3144,964,813,821,797,927,0.163111669
3145,1607,1609,1762,1645,1780,0.082066869
3146,678,733,658,694,890,0.282420749
