postcode,feature_id,feature_type,feature_subtype,name_label
3763,654349,sign,emergency marker,KNP514
3763,654348,sign,emergency marker,KNP513
3763,646697,emergency facility,ses unit,Kinglake SES LHQ
3763,654333,sign,emergency marker,KNP105
3763,654340,sign,emergency marker,KNP504
3763,654342,sign,emergency marker,KNP506
3763,654343,sign,emergency marker,KNP507
3763,993024,care facility,child care,Kinglake Primary School Combined Oshc
3763,654344,sign,emergency marker,KNP508
3763,654345,sign,emergency marker,KNP509
3763,969589,admin facility,office,Kinglake N.P. (Pv)
3763,839292,emergency facility,ambulance station,Kinglake Ambulance Station
3763,139522,emergency facility,police station,Kinglake Police Station
3763,764269,community venue,neighbourhood house,Kinglake Ranges Neighbourhood House
3763,139524,education centre,primary school,Kinglake Primary School
3763,842711,communication service,exchange,Kinglake Telephone Exchange
3763,654341,sign,emergency marker,KNP505
3763,655612,emergency facility,fire station,Kinglake District Fire Station CFA
3763,996439,emergency facility,emergency coordination centre,Kinglake Local Command Facility
3572,47434,storage facility,silo,
3572,48467,storage facility,silo,
3572,985536,emergency facility,fire station,Tennyson Fire Station CFA
3572,48356,excavation site,adit,
3572,49475,excavation site,adit,
3572,910797,place of worship,church,Tennyson Uniting Church
3572,177844,place of worship,church,Tennyson Anglican Church
3572,911019,communication service,exchange,
3572,843144,communication service,exchange,Tennyson Telephone Exchange
3572,649551,community venue,hall,Milloo Public Hall
3620,45468,excavation site,adit,
3620,41170,excavation site,adit,
3620,43958,excavation site,adit,
3620,45466,excavation site,adit,
3620,40947,excavation site,adit,
3620,40945,excavation site,adit,
3620,41167,excavation site,adit,
3620,58317,excavation site,adit,
3620,179280,admin facility,post office,
3620,43956,excavation site,adit,
3620,41166,excavation site,adit,
3620,47980,excavation site,adit,
3620,40939,excavation site,adit,
3620,59877,excavation site,adit,
3620,40938,excavation site,adit,
3620,47163,excavation site,adit,
3620,41165,excavation site,adit,
3620,58751,excavation site,adit,
3620,47181,excavation site,adit,
3620,46823,excavation site,adit,
3620,40941,excavation site,adit,
3620,41163,excavation site,adit,
3620,41164,excavation site,adit,
3620,43906,excavation site,adit,
3620,60463,excavation site,adit,
3620,58279,excavation site,adit,
3620,40940,excavation site,adit,
3620,40942,excavation site,adit,
3620,46827,excavation site,adit,
3620,45464,excavation site,adit,
3620,45465,excavation site,adit,
3620,48373,excavation site,adit,
3620,44381,excavation site,adit,
3620,44338,excavation site,adit,
3620,43957,excavation site,adit,
3620,58316,excavation site,adit,
3620,46826,excavation site,adit,
3620,41169,excavation site,adit,
3620,59275,excavation site,adit,
3620,41168,excavation site,adit,
3620,61312,landmark,tower,
3620,18354,landmark,tower,33 Barton Dr Kyabram
3620,681512,industrial facility,dairy,
3620,406314,industrial facility,dairy,
3620,317566,building,ruin,
3620,317588,industrial facility,dairy,
3620,543152,building,ruin,
3620,210089,building,ruin,
3620,543316,industrial facility,dairy,
3620,209318,industrial facility,dairy,
3620,693558,storage facility,depot,
3620,702453,cultural centre,library,Kyabram Library
3620,139798,education centre,primary school,Lancaster Primary School
3620,765719,dumping ground,transfer station,Kyabram Resource Recovery And Waste Transfer Station
3620,649763,education centre,primary/secondary school,St Augustines College
3620,765757,dumping ground,transfer station,Mount Scobie Transfer Station
3620,678359,place of worship,church,Kyabram Baptist Church
3620,684711,place of worship,church,Wyuna Uniting Church
3620,668600,place of worship,church,Jehovahs Witnesses Kingdom Hall
3620,177840,place of worship,church,
3620,179768,place of worship,church,St Andrews Anglican Church
3620,179769,place of worship,church,Kyabram Presbyterian Church
3620,179770,place of worship,church,Living Waters Assembly Of God
3620,763401,education centre,primary/secondary school,Kyabram P-12 College
3620,177839,place of worship,church,Kyabram Uniting Church
3620,842729,communication service,exchange,Kyabram Telephone Exchange
3620,863385,community venue,hall,
3620,650364,community venue,hall,Wyuna Public Hall
3620,970520,residential building,retirement village,Warramunda Village
3620,651127,community venue,community centre,Community Centre - Wyuna East
3620,649453,community venue,hall,Kyabram Town Hall
3620,646699,emergency facility,ses unit,Kyabram SES LHQ
3620,996518,recreational resource,playground,
3620,989673,care facility,aged care,Kyabram Nursing Home
3620,60918,excavation site,adit,
3620,139698,emergency facility,police station,Kyabram Police Station
3620,1018921,communication service,broadcast radio facility,
3620,625462,hospital,general hospital,Kyabram And District Health Services
3620,628407,education centre,secondary school,Kyabram P-12 College
3620,18604,landmark,tower,Kyabram R/R
3620,628194,education centre,primary school,Kyabram P-12 College - Haslem Campus
3620,655635,emergency facility,fire station,Kyabram Fire Station CFA
3620,984627,care facility,child care,Kyabram Municipal Preschool
3620,984626,care facility,child care,Kyabram Community And Learning Centre
3620,177838,place of worship,church,St Augustines Catholic Church
3620,656269,emergency facility,fire station,Wyuna Fire Station CFA
3620,1008934,sport facility,aquatic centre,Kyabram Pool
3620,612169,care facility,aged care,Warramunda Village Hostel
3620,969591,admin facility,office,Kyabram
3620,139699,emergency facility,ambulance station,Kyabram Ambulance Station
3620,984907,care facility,child care,Unwin Street Preschool
3620,994352,care facility,child care,Kyabram P-12 College Outside School Hours Care
3620,984491,care facility,child care,Early Learning Centre Kyabram
3622,649868,community venue,hall,Strathallan Public Hall
3622,843106,communication service,exchange,Strathallan Telephone Exchange
3622,40932,excavation site,adit,
3622,179263,admin facility,post office,
3622,44363,excavation site,adit,
3622,40990,excavation site,adit,
3622,43932,excavation site,adit,
3622,40930,excavation site,adit,
3622,40931,excavation site,adit,
3622,40928,excavation site,adit,
3622,178839,community venue,hall,
3622,18600,landmark,tower,Koyuga
3622,401118,building,ruin,
3622,911014,communication service,exchange,
3563,40882,excavation site,adit,
3563,46788,excavation site,adit,
3563,48729,excavation site,adit,
3563,40880,excavation site,adit,
3563,40881,excavation site,adit,
3563,47158,excavation site,adit,
3563,44355,excavation site,adit,
3563,179272,admin facility,post office,
3563,40884,excavation site,adit,
3563,140045,education centre,primary school,Lockington Consolidated School
3563,178850,community venue,hall,Lockington Public Hall
3563,177817,place of worship,church,Lockington Anglican Church
3563,177821,place of worship,church,Lockington Uniting Church
3563,842780,communication service,exchange,Lockington Telephone Exchange
3563,842977,communication service,exchange,Pine Grove East Telephone Exchange
3563,988882,health facility,community health centre,Lockington Nursing Centre
3563,990162,sport facility,aquatic centre,
3563,177818,place of worship,church,St Marys Catholic Church
3563,984653,care facility,child care,Lockington Kindergarten
3563,1025131,cultural centre,museum,Lockington And District Living Heritage Complex
3563,985530,emergency facility,fire station,Pine Grove Fire Station CFA
3563,996359,emergency facility,emergency coordination centre,Lockington Local Command Facility
3563,655688,emergency facility,fire station,Lockington Fire Station CFA
3865,763341,education centre,primary school,Lindenow Primary School
3865,655677,emergency facility,fire station,Lindenow South Fire Station CFA
3865,984648,care facility,child care,Lindenow And District Kindergarten
3865,910342,place of worship,church,Lindenow Anglican Church
3865,910343,place of worship,church,Lindenow Uniting Church
3865,178322,place of worship,church,Lindenow Catholic Church
3865,649487,community venue,hall,Lindenow Hall
3865,842772,communication service,exchange,Lindenow Telephone Exchange
3865,645960,education centre,primary school,Lindenow Primary School - Lindenow Campus
3865,996414,emergency facility,emergency coordination centre,Lindenow South Local Command Facility
3880,649683,community venue,hall,Raymond Island Community Hall
3880,649656,community venue,hall,Paynesville Community Centre
3880,702507,cultural centre,library,Paynesville Library
3880,652532,landmark,tower,
3880,911264,community venue,neighbourhood house,Paynesville Neighbourhood House
3880,911265,place of worship,church,St Peters By The Lake Anglican Church
3880,842968,communication service,exchange,Paynesville Telephone Exchange
3880,970313,residential building,retirement village,Parkridge Village
3880,911134,communication service,exchange,
3880,988890,community venue,hall,Paynesville Mechanics Institute And Free Library Reserve
3880,141850,emergency facility,ambulance station,Paynesville Ambulance Station
3880,1023287,recreational resource,club house,East Gippsland Power Boat Club
3880,1023320,care facility,child care,Paynesville Child Care - 3 Year Old Group
3880,1021425,landmark,monument,Paynesville World War One Memorial
3880,1021431,recreational resource,playground,
3880,655905,emergency facility,fire station,Paynesville Fire Station CFA
3880,993026,care facility,child care,Paynesville Child Care
3880,141853,education centre,primary school,Paynesville Primary School
3880,862882,emergency facility,neighbourhood safer place,Paynesville (A.J. Freeman Reserve Oval 1) NSP
3880,1431,control point,survey monument,
3880,988954,emergency facility,fire station,Paynesville Satellite Fire Station (Raymond Island) CFA
