SUBURB,Oct - Dec 14,Jan - Mar 15,Apr - Jun 15,Jul - Sep 15,Oct - Dec 15,No of sales Oct - Dec 15,No of Sales 2015,Oct - Dec 14 - Oct - Dec 15,Jul - Sep 15 - Oct - Dec 15
ABBOTSFORD,875000,785000,920000,905000,985000,21,63,12.6,8.8
ABERFELDIE,1100000,995000,1310000,1207500,1273500,16,77,15.8,5.5
AIREYS INLET,610000,577500,582500,740000,680000,7,39,11.5,-8.1
AIRPORT WEST,605000,612500,622000,665000,630500,34,120,4.2,-5.2
ALBANVALE,333200,334800,332000,352500,371000,26,108,11.4,5.2
ALBERT PARK,1433500,1540000,1792500,1807500,1650000,33,122,15.1,-8.7
ALBION,436000,460000,435000,497500,528000,8,47,21.1,6.1
ALEXANDRA,260000,297500,274000,310000,275000,10,49,5.8,-11.3
ALFREDTON,360500,335000,325000,323000,380500,60,225,5.5,17.8
ALLANSFORD,287500,255000,269800,377000,347500,4,15,20.9,-7.8
ALPHINGTON,1105000,990000,1335000,1430000,1271500,12,40,15.1,-11.1
ALTONA,612000,685000,670000,715000,749000,26,132,22.4,4.8
ALTONA EAST,615500,701000,656000,640500,742500,7,38,20.6,15.9
ALTONA MEADOWS,415000,417500,410000,480000,440000,33,129,6,-8.3
ALTONA NORTH,585000,620000,630000,645000,678000,34,160,15.9,5.1
ANGLESEA,610000,632000,587500,635000,700000,34,119,14.8,10.2
APOLLO BAY,475000,445000,426500,455000,435000,11,44,-8.4,-4.4
ARARAT,220000,210000,200000,230000,200000,32,110,-9.1,-13
ARDEER,365000,364000,367500,417500,408500,14,68,11.9,-2.2
ARMADALE,1802000,1890000,2246500,2800000,2162500,22,90,20,-22.8
ARMSTRONG CREEK,451000,425000,512500,460000,435000,15,65,-3.5,-5.4
ARTHURS SEAT,705000,985000,1210000,503500,503500,0,5,NA,NA
ASCOT (Bendigo),353000,387500,343000,320000,388000,10,30,9.9,21.3
ASCOT VALE,875000,840000,918000,872500,900000,38,185,2.9,3.2
ASHBURTON,1180000,1442500,1520000,1395000,1567000,31,113,32.8,12.3
ASHWOOD,915000,1102000,1112500,1227500,1086800,22,101,18.8,-11.5
ASPENDALE,730000,770000,750000,791000,808500,18,81,10.8,2.2
ASPENDALE GARDENS,650000,630000,687500,748800,724100,28,77,11.4,-3.3
ATTWOOD,422500,570000,445000,662500,675000,12,38,59.8,1.9
AVENEL,336000,272000,282500,220000,233500,6,14,-30.5,6.1
AVOCA,239500,156500,205000,205000,180500,6,25,-24.6,-12
AVONDALE HEIGHTS,575500,592500,652000,680500,652500,42,155,13.4,-4.1
AVONSLEIGH,385000,370000,504000,397500,400000,4,17,3.9,0.6
BACCHUS MARSH,327500,369000,352500,360000,339000,25,112,3.5,-5.8
BADGER CREEK,332800,356500,323500,366500,337500,8,24,1.4,-7.9
BAIRNSDALE,229800,245000,247500,210000,250000,37,144,8.8,19
BALACLAVA,935000,937000,1015000,1211000,1033000,7,41,10.5,-14.7
BALCOMBE,780000,902500,880000,852100,833000,29,148,6.8,-2.2
BALLAN,357500,358500,320000,354000,440000,10,49,23.1,24.3
BALLARAT CENTRAL,350000,365000,350000,325000,345000,31,136,-1.4,6.2
BALLARAT EAST,275000,270900,265500,259000,305000,35,150,10.9,17.8
BALLARAT NORTH,370000,281300,321000,333000,300000,17,84,-18.9,-9.9
BALNARRING,538800,575500,577500,480000,597000,12,31,10.8,24.4
BALNARRING BEACH,700000,865000,715000,840000,1005000,7,20,43.6,19.6
BALWYN,1800000,2000000,2245500,2225000,2060000,51,235,14.4,-7.4
BALWYN NORTH,1515000,1695000,1960000,1905000,1793000,90,442,18.3,-5.9
BANNOCKBURN,410000,425000,375000,378300,421300,14,68,2.7,11.4
BARANDUDA,346100,291500,322000,332000,324000,9,28,-6.4,-2.4
BARWON HEADS,775000,745000,835000,725000,835000,29,115,7.7,15.2
BAXTER,315000,335000,345000,337000,342000,9,47,8.6,1.5
BAYSWATER,562000,594200,641500,638900,635000,49,177,13,-0.6
BAYSWATER NORTH,500000,525000,584400,592000,580000,36,98,16,-2
BEACONSFIELD,542500,551500,525000,585000,585000,29,115,7.8,0
BEACONSFIELD UPPER,546500,539300,752000,602500,628500,4,18,15,4.3
BEAUFORT,220000,209000,175000,227500,240000,7,19,9.1,5.5
BEAUMARIS,1123300,1255000,1455000,1410000,1445000,63,197,28.6,2.5
BEECHWORTH,341000,319000,322500,338500,380000,19,61,11.4,12.3
BELGRAVE,427000,470000,493500,527500,477000,24,77,11.7,-9.6
BELGRAVE HEIGHTS,479500,487500,585500,599500,694500,4,23,44.8,15.8
BELL PARK,325500,316800,341000,343500,352500,20,78,8.3,2.6
BELL POST HILL,335500,350800,360000,353500,332700,20,70,-0.8,-5.9
BELLBRIDGE,214000,280000,310000,280000,220000,2,12,2.8,-21.4
BELLFIELD (Greater Melbourne),611500,717500,700000,751000,698000,12,28,14.1,-7.1
BELMONT,380000,388200,391000,392000,402000,70,276,5.8,2.6
BENALLA,251000,225000,212500,227500,223000,49,180,-11.2,-2
BENDIGO,338300,390000,350000,312000,385000,33,143,13.8,23.4
BENTLEIGH,1020500,1122500,1210000,1237500,1252000,51,221,22.7,1.2
BENTLEIGH EAST,909500,918300,962000,1070000,1030000,95,423,13.2,-3.7
BERWICK,500000,493500,520000,550000,565000,231,962,13,2.7
BEVERIDGE,510500,472500,415000,415000,405000,3,22,-20.7,-2.4
BIRCHIP,150000,80000,127500,84000,147500,2,14,-1.7,75.6
BIRREGURRA,365000,317500,252500,290000,310000,3,14,-15.1,6.9
BITTERN,401000,368500,378800,386300,390000,9,53,-2.7,1
BLACK HILL,325800,290000,307800,375000,268000,16,38,-17.7,-28.5
BLACK ROCK,1670000,1556300,1513000,1842500,1418000,22,95,-15.1,-23
BLACKBURN,967500,1075000,1222600,1200000,1233000,46,192,27.4,2.8
BLACKBURN NORTH,830000,855000,958500,965500,940000,23,92,13.3,-2.6
BLACKBURN SOUTH,850000,901000,945500,925000,903500,38,145,6.3,-2.3
BLACKWOOD,255000,316000,253000,273300,225500,2,16,-11.6,-17.5
BLAIRGOWRIE,605000,610000,650500,615000,666000,45,178,10.1,8.3
BLIND BIGHT,410000,417500,385000,332500,430000,7,26,4.9,29.3
BONBEACH,640000,681500,700500,702000,720000,23,98,12.5,2.6
BONNIE DOON,225500,285000,160000,160000,293000,3,16,29.9,NA
BOOLARRA,322500,220000,197000,220000,175000,1,12,-45.7,-20.5
BORONIA,530400,565000,561000,619000,575600,54,287,8.5,-7
BOTANIC RIDGE,545000,525000,640000,568500,571000,19,80,4.8,0.4
BOX HILL,1000000,1500000,1450000,1517500,1290000,15,74,29,-15
BOX HILL NORTH,945000,1040000,1055800,1150000,1012500,52,178,7.1,-12
BOX HILL SOUTH,1002500,1070000,1174000,1201800,1160000,39,135,15.7,-3.5
BRAYBROOK,490000,501500,546000,565000,555000,37,109,13.3,-1.8
BREAKWATER,248800,255000,267500,292500,282500,4,21,13.6,-3.4
BRIAGOLONG,200000,215000,199000,215000,194000,2,16,-3,-9.8
BRIAR HILL,591000,620500,682000,694500,682500,8,36,15.5,-1.7
BRIDGEWATER ON LODDON,215000,250000,245000,123000,123000,0,5,NA,NA
BRIGHT,415000,397500,360000,495000,412500,12,62,-0.6,-16.7
BRIGHTON,1900000,2300000,2120000,2375000,2250000,91,349,18.4,-5.3
BRIGHTON EAST,1300000,1492500,1642500,1750000,1503000,66,241,15.6,-14.1
BROADFORD,275000,271000,255000,300000,267500,24,78,-2.7,-10.8
BROADMEADOWS,348000,359000,370000,380000,375000,41,183,7.8,-1.3
BROOKFIELD,350000,330000,340000,359000,351000,54,189,0.3,-2.2
